название;каллории
Абрикосы;45
Абрикосы сушеные;275
Айва;38
Алыча;30
Ананас (чист. 71%);47
Ананас (консервы);64
Ананас сушеный;268
Апельсин;37
Арахис;550
Арахис в шоколаде;430
Арбуз;38
Баклажаны;24
Баклажаны (консервы);117
Бананы;91
Баранина;203
Баранки;314
Белый гриб;25
Белый гриб сушеный;209
Бобы;58
Борщ густой;40
Борщ постный;28
Брынза;200
Булочка отрубная;220
Бычки в томате (консервы);145
Вафли в шоколаде;518
Вафли жирные;544
Вафли фруктовые;358
Ветчина;275
Виноград;69
Вишня;48
Вишня сушеная;298
Гематоген;345
Говядина;187
Горбуша;147
Горбуша натур (консервы);138
Горбуша тушеная;152
Горох сухой;311
Горошек;59
Гранат;49
Грейпфрут;31
Грецкий орех;647
Гречневая крупа;310
Гречневая крупа вареная;100
Груша;38
Груша сушеная;257
Джем;200
Дыня;39
Желе;56
Желатин;330
Жир топленый;897
Заливное рыбное;79
Запеканка рыбная;177
Земляника;39
Зефир;316
Зефир в шоколаде;410
Изюм кишмиш;294
Изюм с косточкой;286
Икра кабачковая;94
Икра кеты;250
Икра лещевая;142
Икра минтая;130
Икра осетровая;202
Инжир;56
Ирис;414
"Йогурт ""Actimel""";76
Йогурт сладкий, 1,2%;73
Йогурт сладкий, 1,5%;82
Йогурт сладкий, 2,2%;90
Йогурт сладкий, 2,2% питьевой;84
Йогурт сладкий, 2,8;103
Йогурт сладкий, 2,9%;99
Йогурт сладкий, 3,7%;107
Йогурт сладкий, 4,2%;127
Йогурт сладкий, 4,7%;134
Йогурт сладкий, 7,3%;155
Кабачки;27
Козинаки с арахисом;491
Козинаки с мюсли;481
Какао порошок;359
Кальмар;74
Камбала;87
Камбала в томате (консервы);130
Капуста белокачанная;31
Капуста броколли;35
Капуста квашеная;19
Капуста краснокачанная;31
Капуста тушеная;51
Капуста тушеная с фасолью;80
Капуста тушеная с яйцом;67
Капуста цветная;29
Карась;87
Карп;96
Картофель;83
Квас;20
Кедровые орешки;674
Кета;138
Кета натуральная (консервы);129
Кетчуп;86
Кефир, 1%;39
Кефир, 2,5%;50
Кефир, 3,0%;53
Кефир, 3,2%;62
Кешью;643
Кильки в томате (консервы);182
Клюква;28
"Колбаса ""Диабетическая""";254
"Колбаса ""Диетическая""";170
"Колбаса ""Докторская""";260
"Колбаса ""Краковская""";466
"Колбаса ""Любительская""";301
"Колбаса ""Молочная""";228
Колбаса сервелат;360
Колбаса сырокопченая;480
Компот их сухофруктов без сахара;12
"Конфета ""Bounty"" (1 шт = 57 г)";423
"Конфета ""Halls"" (1 шт = 3,7 г)";386
"Конфета ""Птичье молоко"" (1 шт = 10 г)";464
"Конфета ""Raffaello"" (1 шт = 10,4 г)";622
